country,year,warheads,megatons
United States,1945,2,0.04
United States,1946,9,0.18
United States,1947,13,0.26
United States,1948,56,1.25
USSR/Russia,1949,1,0.02
United States,1949,169,4.19
USSR/Russia,1950,3,0.06
United States,1950,298,9.53
USSR/Russia,1951,35,1.6
United States,1951,438,35.25
USSR/Russia,1952,85,4.1
United States,1952,832,49.95
USSR/Russia,1953,135,7.0
United States,1953,1161,72.8
USSR/Russia,1954,200,11.0
United States,1954,1630,339.01
USSR/Russia,1955,430,190.0
United States,1955,2280,2879.99
USSR/Russia,1956,660,360.0
United States,1956,3620,9188.65
USSR/Russia,1957,900,660.0
United States,1957,5828,17545.86
USSR/Russia,1958,1060,700.0
United States,1958,7402,17303.54
USSR/Russia,1959,1700,1190.0
United States,1959,12305,19054.62
USSR/Russia,1960,2470,2580.0
United States,1960,18638,20491.17
USSR/Russia,1961,3320,3420.0
United States,1961,22229,10947.71
USSR/Russia,1962,4240,4140.0
United States,1962,27100,12825.02
USSR/Russia,1963,5220,5170.0
United States,1963,29800,15977.17
USSR/Russia,1964,6300,6090.0
United States,1964,31600,16943.97
USSR/Russia,1965,7550,7240.0
United States,1965,32400,15152.5
USSR/Russia,1966,8850,9830.0
United States,1966,32450,14037.46
USSR/Russia,1967,10000,11700.0
United States,1967,32500,12786.17
USSR/Russia,1968,11000,13400.0
United States,1968,30700,11837.65
USSR/Russia,1969,12700,15300.0
United States,1969,28200,11714.44
USSR/Russia,1970,14500,17100.0
United States,1970,26600,9695.2
USSR/Russia,1971,16600,17400.0
United States,1971,26500,8584.4
USSR/Russia,1972,18800,17800.0
United States,1972,27000,8531.51
USSR/Russia,1973,21100,18400.0
United States,1973,28400,8452.0
USSR/Russia,1974,23500,18700.0
United States,1974,29100,8325.22
USSR/Russia,1975,25800,19400.0
United States,1975,28100,7368.38
USSR/Russia,1976,28400,19100.0
United States,1976,26700,5935.51
USSR/Russia,1977,31400,18300.0
United States,1977,25800,5845.0
USSR/Russia,1978,34000,18000.0
United States,1978,24600,5721.16
USSR/Russia,1979,36300,16900.0
United States,1979,24300,5696.34
USSR/Russia,1980,38700,15700.0
United States,1980,24300,5618.86
USSR/Russia,1981,40800,16200.0
United States,1981,23400,5382.91
USSR/Russia,1982,42600,16500.0
United States,1982,23000,5358.89
USSR/Russia,1983,43300,16100.0
United States,1983,23400,5232.47
USSR/Russia,1984,44000,15800.0
United States,1984,23600,5192.2
USSR/Russia,1985,45000,15400.0
United States,1985,23500,5217.48
USSR/Russia,1986,43000,14700.0
United States,1986,23400,5414.54
USSR/Russia,1987,41000,14000.0
United States,1987,23700,4882.14
USSR/Russia,1988,39000,13300.0
United States,1988,23400,4789.77
USSR/Russia,1989,37000,12700.0
United States,1989,22700,4743.34
USSR/Russia,1990,35800,12300.0
United States,1990,21800,4518.91
USSR/Russia,1991,34600,11800.0
United States,1991,20400,3795.94
USSR/Russia,1992,33400,11400.0
United States,1992,18700,3167.88
USSR/Russia,1993,32200,11000.0
United States,1993,17000,2647.31
USSR/Russia,1994,31000,10600.0
United States,1994,15500,2375.3
USSR/Russia,1995,29800,10200.0
United States,1995,14100,2160.0
USSR/Russia,1996,28600,9790.0
United States,1996,12900,1980.0
USSR/Russia,1997,27400,9380.0
United States,1997,11700,1790.0
USSR/Russia,1998,26200,8970.0
United States,1998,10800,1660.0
USSR/Russia,1999,25000,8560.0
United States,1999,10700,1640.0
USSR/Russia,2000,23800,8140.0
United States,2000,10600,1620.0
USSR/Russia,2001,22600,7730.0
United States,2001,10500,1610.0
USSR/Russia,2002,21400,7320.0
United States,2002,10500,1610.0
USSR/Russia,2003,20200,6910.0
United States,2003,10400,1590.0
USSR/Russia,2004,19000,6500.0
United States,2004,10400,1590.0
USSR/Russia,2005,18000,6160.0
United States,2005,10300,1580.0
USSR/Russia,2006,17000,5820.0
United States,2006,10100,1550.0
USSR/Russia,2007,16000,5480.0
United States,2007,9900,1520.0
United States,2008,9200,1410.0
United States,2009,8500,1300.0
United States,2010,7700,1180.0
United States,2011,6900,1060.0
United States,2012,6000,920.0
